1000	0.853191489	0.91243561	0.932190179	0.941898527	0.948141746
2000	0.871631206	0.92347314	0.939984412	0.950081833	0.958513397
3000	0.882978723	0.92641648	0.939204988	0.94599018	0.95505618
4000	0.889361702	0.92788815	0.943881528	0.953355155	0.961970614
5000	0.892907801	0.92715232	0.939984412	0.943535188	0.949870354
6000	0.89858156	0.93230316	0.945440374	0.948445172	0.957649092
7000	0.896453901	0.92494481	0.937646142	0.939443535	0.943820225
8000	0.895744681	0.92568065	0.942322681	0.947626841	0.95505618
9000	0.89929078	0.92494481	0.936866719	0.945171849	0.952463267
10000	0.895035461	0.92641648	0.936866719	0.936988543	0.941227312
11000	0.892198582	0.9205298	0.932190179	0.934533552	0.938634399
12000	0.90141844	0.92788815	0.937646142	0.939443535	0.94900605
13000	0.890780142	0.91611479	0.92751364	0.931260229	0.937770095
14000	0.892907801	0.91537896	0.923616524	0.923076923	0.925669836
15000	0.887234043	0.90654893	0.916601715	0.914075286	0.916162489